Language Score,Writing Skills,Public Speaking,Social Media Experience,Creativity,Communication Skills,Digital Literacy,Portfolio Development,Time Management,Adaptability,Suitability Percentage
30,5,5,0,5,3,2,12,5,5,79.5
73,1,3,8,4,1,5,0,1,3,55.25
86,2,5,8,3,2,1,17,3,3,78.75
30,1,5,0,3,1,3,4,2,2,50
91,3,4,0,1,4,5,3,2,3,74.5
44,5,5,2,1,2,2,2,3,1,69.33
85,3,2,3,5,3,4,20,4,5,80.5
24,4,1,4,2,5,4,1,2,1,50.42
100,1,2,1,5,5,1,10,2,5,56.58
48,5,1,10,3,4,5,14,4,2,79.5
62,3,3,4,1,3,3,16,3,2,76.92
28,2,1,6,4,5,3,8,3,2,50
68,1,1,3,5,3,5,11,3,1,54.42
48,2,5,8,1,4,5,8,1,1,57.92
73,2,4,9,1,3,2,9,3,1,55.58
66,2,3,8,5,3,3,7,4,2,55.58
90,3,4,1,5,3,4,5,1,5,72.92
22,2,2,10,2,5,5,16,1,1,50
57,3,3,0,1,3,1,2,3,1,50
82,3,4,7,3,1,3,6,4,4,73.92
62,4,5,1,4,2,4,10,3,4,77
40,5,4,2,4,5,3,7,2,2,76.5
24,5,3,7,5,5,5,17,2,2,85
46,2,2,3,3,3,4,2,5,4,51.75
86,5,2,8,2,4,5,10,5,3,97.5
58,5,3,5,3,2,1,4,2,3,74.58
